,season,episode_number,title,desc
0,1,1,Kikyô,Naruto returns to Konoha after a two-and-a-half-year training journey with Jiraiya and is reunited with Sakura.
1,1,2,"Akatsuki, shidô","Kakashi gives Naruto and Sakura a test to see how far they had improved. Meanwhile, two Akatsuki members, Deidara and Sasori, arrive at the entrance of the Sunagakure to capture the One-Tailed Shukaku's host, Gaara."
2,1,3,Shûgyô no seika,"Sakura and Naruto both demonstrate their newly acquired skills. Meanwhile, Deidara commences his attack on Sunagakure and is confronted by Gaara."
3,1,4,Suna no jinchûriki,"Gaara is quick to detect Deidara's presence, and an aerial battle ensues with Deidara on his giant bird and Gaara atop sand."
4,1,5,Kazekage to shite...!,"Naruto and Sakura defeat Kakashi in the survival challenge. Tsunade assigns them to a three-man squad led by Kakashi, who tells them they are now his equals."
5,1,6,Noruma kuriâ,"In order to protect his village from Deidara's explosive clay, Gaara uses his chakra to create a giant sand shield."
6,1,7,Shissôre Kankurô,"Gaara, his strength completely exhausted, is whisked away by Deidara. Kankuro ignores Baki's efforts to stop him and immediately sets out in pursuit with a platoon to rescue Gaara."
7,1,8,"Shutsugeki, Kakashi han","On her way to the Sand Village, Temari encounters Kakashi and his team. Kakashi admonishes Naruto when he tries to rush ahead..."
8,1,9,Jinchûriki no namida,An urgent message from the Sand Village detailing the Akatsuki's kidnapping of the Kazekage reaches the Hidden Leaf Village. Tsunade wastes no time in ordering Team Kakashi to the Sand Village.
9,1,10,Fûinjutsu: Genryû kyû fûjin,"The Sand ninja fight against time to treat Kankuro. Even the Sand's poison expert, Granny Chiyo, is baffled. The only hope lies with the reinforcements sent by Tsunade."
10,1,11,Iryô ninja no deshi,"Sakura treats a critically ill Kankuro. After extensive training she's now a full-fledged Medic Ninja, and Sakura amazes everyone with her sure, steady hands."
11,1,12,Inkyo babâ no ketsui,"Pakkun finds the hideout of the Akatsuki. Team Kakashi and Temari prepare to set out to get Gaara back, but Temari is ordered to stay behind and help guard the village."
12,1,13,In'nen a ima mieru,"Team Kakashi encounter Itachi Uchiha, who had dealt them a bitter defeat in the past. Kakashi warns everyone not to look into Itachi's Sharingan Eyes."
13,1,14,Naruto no seichô,"Guy prepares to use a forbidden secret jutsu. Meanwhile, Naruto falls under Itachi's genjutsu, and all the anti-genjutsu training he underwent with Jiraiya races through Naruto's mind."
14,1,15,Kakushi dama nazukete...!,"Granny Chiyo and Sakura rescue Naruto from Itachi's genjutsu. Without a moment's delay, Kakashi begins a counterattack."
15,1,121,Ugokidasu monotachi,"After hunting down the Four Tails, Itachi and Kisame are summoned by the leader of the Akatsuki. The leader announces the death of Orochimaru to the gathered members and the possibility of his killer, Sasuke, setting his sights on the Akatsuki organization...."
16,1,122,Tansaku,"Under Kakashi's command, the Leaf ninja set off to find Itachi. Using Kakashi's ninja hounds, they gather as much information as they can on Itachi. Meanwhile, the members of the Hebi also scatter to look for information on Itachi. Led by the ninja hound tracking Sasuke's scent, Sakura arrives in town and draws near to Karin."
17,1,123,Gekitotsu!,"Upon encountering one another, Sasuke and Deidara engage in battle. After exchanging a few blows to test Sasuke's strength, Deidara conjures up his specialty clay dragon and wages long-range attacks against Sasuke from high above. With Tobi's backup support, the battle seems to be going to Deidara."
18,1,124,Geijutsu,"Determined to destroy the Sharingan to rid himself of the taste of defeat he received from Itachi, Deidara unleashes his biggest attack, the C4 Karura. Created to kill Itachi, this fierce weapon is capable of destroying living beings from the inside using millions of nano-sized bombs. Can Sasuke escape this attack fueled by Deidara's determination to destroy the Sharingan?"
19,1,125,Shôshitsu,"Sasuke goes missing after being caught by Deidara's suicidal bombing. Sensing his disappearance, Jugo, Karin, and Suigetsu race to Sasuke's last location, where the three Hebi members discover...?"
20,1,126,Tasogare,"Leaf ninja, she notifies the others and the Hebi members quickly leave the inn. To allow Sasuke to focus on his coming battle with Itachi, Karin comes up with a plan to keep the Leaf ninja occupied."
21,1,127,Dokonjô ninden ~ Jiraiya ninpôchô ~ Zenpen,"During the reign of the Second Hokage, the young Jiraiya, Orochimaru, and Tsunade are assigned to Hiruzen Sarutobi's platoon as Genins. While training, Jiraiya accidentally transports himself to Mount Myoboku, opening the path to fulfill his destiny."
22,1,128,Dokonjô ninden ~ Jiraiya ninpôchô ~ Kôhen,Jiraiya's journey to seek out a student is postponed due to the outbreak of the Third Great Ninja War. Jiraiya joins Tsunade and Orochimaru to battle the Village Hidden in the Rain.
23,1,129,Sen'nyû! Amegakure no sato,Jiraiya successfully infiltrates the Hidden Rain Village by hiding inside the toad Gamagoro. He sets out to gather information but finds no indications of a civil war occurring within the village.
24,1,130,Kami to natta otoko,"Foreseeing a possible battle, Jiraiya takes precautionary measures by storage releasing the scroll toad that commands the key to Naruto's Eight-Signed Seal."
25,1,131,Hatsudô! Sen'nin modô,"Jiraiya battles to defeat his former student Pain, who is now driven by his twisted ideals as an Akatsuki member."
26,1,132,"Pein rokudô, kenzan",Jiraiya completes his Sage Mode transformation to battle the three Pains.
27,1,133,The Tale of Jiraiya the Gallant,"Having lost his arm, Jiraiya is outmatched by the six Pains now appearing before him. Of the six, the one called Tendo is revealed to be Jiraiya's former student Yahiko. Jiraiya is still puzzled by the Rinnegan's true powers, but before he can gather his thoughts, he is forced back into battle."
28,1,134,Utage e no sasoi,"As Sasuke proceeds to Itachi's hideout, Tobi messes with Naruto."
29,1,135,Nagaki toki no naka de...,"While Itachi waits for Sasuke in the Uchiha hideout, he recalls the past incident that led to his defection from the Leaf Village. When Sasuke arrives, the fated battle begins between the two brothers."
30,1,136,Mangekyô Sharingan no hikari to yami,"Following their fierce genjutsu battle with the Sharingan, Itachi explains the secret behind the most powerful ocular jutsu, the Mangekyo Sharingan, and the history of the Uchiha clan..."
31,1,137,Amaterasu,"Sasuke loses his left eye to Itachi, but it turns out to be a genjutsu created by the Mangekyo Sharingan. Breaking free of the Tsukuyomi by force, Sasuke makes a furious comeback against the injured Itachi."
32,1,138,Shûen,"At the climax of the battle, both Itachi and Sasuke run out of chakra. However, Sasuke reveals that his actions up until now were only a preparation for his final jutsu."
33,1,139,Tobi no nazo,"Naruto and his comrades find themselves held up by Tobi, whose strange jutsu is more than just a simple genjutsu."
34,1,140,In'nen,"In the Akatsuki hideout Sasuke comes face to face with Madara. Announcing himself as Itachi's accomplice from that fateful night, Madara goes on to tell Sasuke the truth about Itachi that he could never have known."
35,1,141,Shinjitsu,"The Uchiha clan was plotting a coup d'etat. The story as told by Madara leaves Sasuke at a loss for words. Because of his gifted talent, Itachi was forced to suffer, torn between his loyalties to the Leaf Village and the Uchiha clan."
36,10,16,Jinchûriki no himitsu,"Chiyo and Kakashi realize that the attack was just a diversion, and that the Akatsuki have already begun the process of extracting the Tailed Beast from Gaara. Granny Chiyo explains to Naruto and Sakura the connection between the Tailed Beast and the JinchÃ»riki..."
37,10,17,Gaara shisu,"Teams Kakashi and Guy take a short rest. Granny Chiyo watches Naruto dozing off and is reminded of Sasori as a child. The pursuit resumes, and when Chiyo wonders why Naruto puts such effort into rescuing Gaara..."
38,10,18,Totsunyû! Botan fukku entorî,Teams Kakashi and Guy reach the Akatsuki hideout. They hurry to infiltrate but are thwarted by a five-seal barrier. The only way to break the barrier is to remove all five seals at once.
39,10,19,Torappu sadô! Gai han no teki,"Breaking the five-seal barrier set off a trap, which now has Team Guy battling amazingly accurate copies of themselves. Back at the Akatsuki hideout, Deidara and Sasori struggle to take the Nine-Tail Jinchuuriki."
40,10,20,Hiruko VS futari no kunoichi,"At last, the showdown between the old woman and her grandson begins. Sakura is confused by Sasori's strange appearance, and Granny Chiyo explains that this is Hiruko..."
